freguesia_id,nome
a0f14ee7-04c6-4c0a-b0da-0be76d742573,Rua Principal
a0f14ee7-04c6-4c0a-b0da-0be76d742573,Rua da Igreja
a0f14ee7-04c6-4c0a-b0da-0be76d742573,Rua do Centro
7e0da95f-57fc-448d-938a-6b44ca6fb6c0,Rua de Barreiros
7e0da95f-57fc-448d-938a-6b44ca6fb6c0,Rua da Escola
e3f03044-023a-47bd-b59f-2c488045b530,Rua de Bico
e3f03044-023a-47bd-b59f-2c488045b530,Rua do Parque
19bd65fe-3ffd-48b5-a867-a0555737ab71,Rua de Caires
19bd65fe-3ffd-48b5-a867-a0555737ab71,Rua das Flores
0260c4b0-e056-4ffb-872f-3dab071e3db2,Rua de Caldelas
0260c4b0-e056-4ffb-872f-3dab071e3db2,Rua de Sequeiros
0260c4b0-e056-4ffb-872f-3dab071e3db2,Rua de Paranhos
2ec4fc3a-4854-40f0-b218-3f726399f693,Rua de Carrazedo
2ec4fc3a-4854-40f0-b218-3f726399f693,Rua Nova
25259e0f-a47c-459f-9975-67a9d5ce2243,Rua de Dornelas
25259e0f-a47c-459f-9975-67a9d5ce2243,Rua da Fonte
05854c90-0dc0-4fd2-b8b9-89c8e529343f,Rua de Ferreiros
05854c90-0dc0-4fd2-b8b9-89c8e529343f,Rua de Prozelo
05854c90-0dc0-4fd2-b8b9-89c8e529343f,Rua de Besteiros
fbf16aba-10f4-4e99-872e-5626436ae657,Rua de Fiscal
fbf16aba-10f4-4e99-872e-5626436ae657,Rua do Vale
5bf66717-9741-4b6e-8550-afce6590b58a,Rua de Goães
5bf66717-9741-4b6e-8550-afce6590b58a,Rua do Jardim
9f016768-0946-4fed-b500-2e51559e73cb,Rua de Lago
9f016768-0946-4fed-b500-2e51559e73cb,Rua da Ribeira
1d9b9a52-1af8-4430-bec4-24d9bd080a89,Rua de Rendufe
1d9b9a52-1af8-4430-bec4-24d9bd080a89,Rua da Capela
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua de Santa Maria do Bouro
c539d7ba-e974-455e-91e2-c53b4ffc3f70,Rua do Mosteiro
4fb1e7d6-f557-4ff9-be01-0cbec4d5dd13,Rua de Santo André do Bouro
4fb1e7d6-f557-4ff9-be01-0cbec4d5dd13,Rua da Paz
daf927d2-5c09-44a2-b451-828e7b951db8,Rua de Torre e Portela
daf927d2-5c09-44a2-b451-828e7b951db8,Rua do Monte
cec5dd0f-32ca-450c-83b9-a7e996618ee3,Rua de Vilela
cec5dd0f-32ca-450c-83b9-a7e996618ee3,Rua de Seramil
cec5dd0f-32ca-450c-83b9-a7e996618ee3,Rua de Paredes Secas
